ProductKey,ActualSales
49334,223321671.31258
49333,104421150.76738
49326,52393294.90512
49327,39433626.29574
49331,34052466.83612
72598,29322007.49348
49325,25185306.30088
49329,20146078.217359997
49330,20047195.6521
49328,17807349.6949
59736,17454146.43762
82315,10758003.0742
40432,8253143.413740001
44784,7561251.5699000005
49963,7417532.47472
93165,6547173.20392
49332,5967909.89812
96762,4732289.28456
85818,4603426.023200001
97438,3814131.95612
93163,3676906.03314
97439,3241519.37976
73604,2965857.16938
78208,2943534.02934
44786,2813671.32356
32728,2189753.5118
59999,2055553.5526
87307,1762420.4167799999
78206,1522264.05736
40428,1149191.08148
43435,1107960.43988
78207,1102317.38074
73277,730962.8755600001
82314,306491.43764
73188,158908.1826
40863,133780.86116
40893,115376.9311
19864,69527.56334
12320,65840.68174
12234,5673.748
76961,295.288
26961,237.285
44606,68.65446
26803,52.83546
23856,37.4383
97442,21.092
28152,17.50636
42364,10.0187
22862,7.59312
55443,0.0
19431,0.0
55442,0.0
94143,0.0
82594,0.0
23555,0.0
58680,0.0
49962,0.0
44600,0.0
24115,0.0
42575,0.0
45803,0.0
23070,0.0
26797,0.0
77406,0.0
26801,0.0
14138,0.0
