ProductKey,ActualSales
62330,16586565.088680001
87723,15491412.238499999
49169,12851515.05552
88531,12657605.85898
49492,10718470.91863
95792,10618262.93209
95818,9989758.40128
26844,8892184.50588
35304,8796235.73236
62331,8305672.03787
26841,8165987.262259999
49490,7481460.48117
95822,7229346.539650001
95835,7032432.682250001
95821,7021415.2760499995
14435,6509812.575209999
95816,6354368.59542
49495,5980037.48174
94311,5790279.45445
86513,5764341.831099999
49489,5343083.75938
94310,5308564.96129
49493,5231502.80825
81294,3875938.4764799997
14397,3104222.11309
27434,3024240.51087
14412,2911504.2454399997
43632,2453549.78482
43547,2382737.61322
30553,2288110.46442
29698,1936102.5962399999
93291,1849781.0552
30905,1732506.47686
24998,1616210.09275
18570,1271445.95559
59511,1224967.25528
28134,1001664.08935
31091,822370.01418
95836,804836.9728
95843,660732.94862
93278,644408.10973
93290,501645.06218
31092,454667.64152999996
88529,443729.22487
93286,422880.41563
14487,412885.23321000003
28133,406066.92783
88528,377984.45900000003
31090,355725.12226000003
88527,276872.20569000003
88530,267547.85433
31367,90870.71633
31366,83229.032
12350,38725.175650000005
79436,37419.73904
12353,31513.979040000002
12329,28092.11842
35072,16746.99527
12268,14153.20657
12352,13578.713220000001
12272,10756.920000000002
35070,10390.39377
35068,9187.99158
35033,9061.96688
35032,8920.439559999999
12450,7039.455000000001
12349,6609.44185
35249,6583.340499999999
18639,6371.10225
12309,4433.06383
12354,738.22
88534,596.9036
55438,0.0
96382,0.0
12429,0.0
49494,0.0
88533,0.0
73163,0.0
55440,0.0
22003,0.0
72013,0.0
88535,0.0
21057,0.0
55441,0.0
22000,0.0
49859,0.0
23858,0.0
49491,0.0
12433,0.0
88532,0.0
